id,title,description,category,priority,status,source_section,verification_method,acceptance_criteria,dependencies,metadata
REQ_H16_001,be fully responsible for ensuring that the Deliverables and Services provided fully meet the specifi...,"be fully responsible for ensuring that the Deliverables and Services provided fully meet the specified requirements for the Contract.  Therefore, the Applicant shall duly analyse the SCK CEN’s Tender Documents and evaluate whether sufficient information is presented to allow the Applicant to put forward a proposal that ensures the delivery of the procured items meets the specified requirements.",General,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_002,not give rise to any basis for a Variation.,not give rise to any basis for a Variation.,General,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_003,explicitly list all additional requirements (beyond those specified by SCK CEN) which have been defi...,"explicitly list all additional requirements (beyond those specified by SCK CEN) which have been defined by the Applicant and which are assumed to be necessary for fulfilling the intended function, performance, or integration of the proposed solution.  All such assumptions and requirements shall be clearly identified, justified, and documented as part of the offer. These may be used as a basis for the system design and/or verification.",Performance,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_004,clearly state this deviation in the offer.  The Applicant shall provide a clear description and just...,clearly state this deviation in the offer.  The Applicant shall provide a clear description and justification for the proposed alternative.,General,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_005,be supported by an assessment of its advantages and drawbacks.  The Applicant shall submit a single ...,"be supported by an assessment of its advantages and drawbacks.  The Applicant shall submit a single offer, inclusive of all proposed modifications, representing the most optimal solution.  Multiple alternative offers shall not be permitted.",General,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_006,"contain an overview of the main Contract activities.  For each activity, the Applicant shall detail ...","contain an overview of the main Contract activities.  For each activity, the Applicant shall detail how requirements will be met, the selected processes and techniques that shall be implemented, etc. Where applicable, the Applicant is to give at least the details as requested in the present document. If no detail level is defined in this document, the Applicant is to choose, based on its experience, the appropriate (level of) detail(s) to be provided in relation to the criticality and/or complexity of the activity.",General,High,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_007,be discussed between SCK CEN and the Applicant.  SCK CEN reserves the right to refuse any deviation ...,be discussed between SCK CEN and the Applicant.  SCK CEN reserves the right to refuse any deviation or modification at its sole discretion and without justification.  Only deviations and modifications with prior written approval from SCK CEN may be implemented.,General,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H16_008,request this information from SCK CEN without undue delay (according to §1.6 of the Main Tender Docu...,"request this information from SCK CEN without undue delay (according to §1.6 of the Main Tender Document).  In accordance with §1.7 of the Main Tender Document, the Contractor may no longer rely on information lacking after submission of its offer.  If the Contractor identifies a lack of information during the performance of the Contract, this shall not give rise to any basis for a Variation.",Performance,Low,Draft,H16 - Introduction,Inspection,To be defined,[],"{'extracted_from': 'H16', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H18_009,be capable to operate uninterrupted in 2K mode for at least 90 consecutive days,be capable to operate uninterrupted in 2K mode for at least 90 consecutive days,General,Low,Draft,H18 - Lifetime and annual maintenance schedule,Inspection,To be defined,[],"{'extracted_from': 'H18', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
REQ_H18_010,take into account the following constraints:,take into account the following constraints:,General,Low,Draft,H18 - Lifetime and annual maintenance schedule,Inspection,To be defined,[],"{'extracted_from': 'H18', 'extraction_method': 'pattern_matching', 'confidence': 0.8}"
